,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI
2640,BOREAL WATER COLLECTION INC,COMMON,,,,
2641,BOREALIS EXPLORATION LIMITED,COMMON,Borealis Exploration Ltd,Common Stock,Common Stock,Common Stock
2642,BORGES AGRICULTURAL AND INDU,COMMON,Borges Agricultural & Industrial Nuts S.A.,Common Stock,Common Stock,Common Stock
2643,BORGWARNER INC,,BorgWarner Inc,Common Stock,Common Stock,Common Stock
2644,BORNEO RESOURCE INVESTMENTS,COMMON,Borneo Resource Investments Ltd,Common Stock,Common Stock,Common Stock
2645,BOROSIL RENEWABLES LTD,COMMON,BOROSIL RENEWABLES LIMITED,Common Stock,Common Stock,Common Stock
2646,BORQS TECHNOLOGIES INC,COMMON,Borqs Technologies Inc,Common Stock,,
2647,BORR DRILLING LTD,COMMON,,,Common Stock,Common Stock
2648,BORREGAARD ASA,COMMON,Borregaard ASA,Common Stock,Common Stock,Common Stock
2649,BORUSSIA DORTMUND GMBH & CO,COMMON,Borussia Dortmund GmbH & Co KGaA,Common Stock,Common Stock,Common Stock
2650,BOSCH LIMITED,COMMON,Bosch Limited,Common Stock,Common Stock,Common Stock
2651,BOSERA FTSE CHINA A50 ETF HK,ETF,,,,
2652,BOSHIWA INTERNATIONAL HOLDIN,COMMON,,,,
2653,BOSKALIS WESTMINSTER,COMMON,Koninklijke Boskalis Westminster NV,Common Stock,Common Stock,Common Stock
2654,BOSS HOLDINGS INC,COMMON,Boss Holdings Inc,Common Stock,Common Stock,Common Stock
2655,BOSS RESOURCES LTD,COMMON,Boss Resources Ltd,Common Stock,Common Stock,Common Stock
2656,BOSSARD HOLDING AG-REG A,COMMON,Bossard Holding AG,Common Stock,Common Stock,Common Stock
2657,BOSSINI INTERNATIONAL HLDG,COMMON,Bossini International Holdings Ltd,Common Stock,Common Stock,Common Stock
2658,BOSTON BEER COMPANY INC-A,COMMON,Boston Beer Company Inc,Common Stock,Common Stock,Common Stock
2659,BOSTON CARRIERS INC,COMMON,Boston Carriers Inc,Common Stock,Common Stock,Common Stock
2660,BOSTON OMAHA CORP-CL A,COMMON,,,,
2661,BOSTON PROPERTIES INC,,Boston Properties Inc,Common Stock,REIT,REIT
2662,BOSTON SCIENTIFIC CORP,,Boston Scientific Corp,Common Stock,Common Stock,Common Stock
2663,BOSTON THERAPEUTICS INC,COMMON,,,,
2664,BOSWELL (JG) CO,COMMON,Boswell J G Co,Common Stock,Common Stock,Common Stock
2665,BOTANIX PHARMACEUTICALS LTD,COMMON,Botanix Pharmaceuticals Ltd,Common Stock,Common Stock,Common Stock
2666,BOTSWANA DIAMONDS PLC,COMMON,Botswana Diamonds plc,Common Stock,Common Stock,Common Stock
2667,BOTTOMLINE TECHNOLOGIES (DE),COMMON,,,Common Stock,Common Stock
2668,BOUGAINVILLE COPPER LIMITED,COMMON,Bougainville Copper Ltd,Common Stock,Common Stock,Common Stock
2669,BOULD OPPORTUNITIES PLC,COMMON,,,,
2670,BOULDER GROWTH & INCOME FUND,CLOSED-END FUND,,,,
2671,BOUNTY MINING LTD,COMMON,,,,
2672,BOUNTY OIL & GAS NL,COMMON,Bounty Oil and Gas NL,Common Stock,Common Stock,Common Stock
2673,BOURBON CORP,COMMON,Bourbon Corp,Common Stock,Common Stock,Common Stock
2674,BOURSE DIRECT,COMMON,Bourse Direct SA,Common Stock,Common Stock,Common Stock
2675,BOUSTEAD PROJECTS LTD,COMMON,Boustead Projects Limited,Common Stock,Common Stock,Common Stock
2676,BOUSTEAD SINGAPORE LTD,COMMON,Boustead Singapore Limited,Common Stock,Common Stock,Common Stock
2677,BOUTIQUES INC,COMMON,Boutiques Inc,Common Stock,Common Stock,Common Stock
2678,BOUYGUES SA,COMMON,Bouygues SA,Common Stock,Common Stock,Common Stock
2679,BOUYGUES-UNSPONSORED ADR,ADR,Bouygues SA ADR,Common Stock,ADR,Depositary Receipt
2680,BOW ENERGY LTD,COMMON,,,,
2681,BOWEN COKING COAL LTD,COMMON,Bowen Coking Coal Ltd,Common Stock,Common Stock,Common Stock
2682,BOWLEVEN PLC,COMMON,Bowleven PLC,Common Stock,Common Stock,Common Stock
2683,BOWLIN TRAVEL CENTERS INC,COMMON,,,Common Stock,Common Stock
2684,BOX INC - CLASS A,COMMON,Box Inc,Common Stock,Common Stock,Common Stock
2685,BOX SHIPS INC,PREFERRED,Box Ships Inc,Common Stock,Common Stock,Common Stock
2686,BOX SHIPS INC,COMMON,Box Ships Inc,Common Stock,Common Stock,Common Stock
2687,BOXLIGHT CORP - CLASS A,COMMON,Boxlight Corp Class A,Common Stock,Common Stock,Common Stock
2688,BOYAA INTERACTIVE INTERNATIO,COMMON,,,,
2689,BOYD GAMING CORP,COMMON,Boyd Gaming Corporation,Common Stock,Common Stock,Common Stock
2690,BOYLE BANCORP INC,COMMON,,,Common Stock,Common Stock
2691,BOYUAN CONSTRUCTION GROUP IN,COMMON,,,,
2692,BOYUAN HOLDINGS LTD,COMMON,,,,
2693,BP MIDSTREAM PARTNERS LP,MLP,,,,
2694,BP PLC,COMMON,BP PLC,Common Stock,Common Stock,Common Stock
2695,BP PRUDHOE BAY ROYALTY TRUST,ROYALTY TRST,BP Prudhoe Bay Royalty Trust,Common Stock,Royalty Trst,Common Stock
2696,BPLATS INC,COMMON,BPLATS Inc,Common Stock,Common Stock,Common Stock
2697,BRACK CAPITAL PROPERTIES NV,COMMON,Brack Capit N V,Common Stock,Common Stock,Common Stock
2698,BRADESPAR SA,COMMON,Bradespar S.A,Common Stock,Common Stock,Common Stock
2699,BRADKEN LIMITED,COMMON,,,Common Stock,Common Stock
2700,BRADY CORPORATION - CL A,COMMON,Brady Corporation,Common Stock,Common Stock,Common Stock
2701,BRAEMAR HOTELS & RESORTS INC,REIT,Braemar Hotel & Resorts Inc,Common Stock,REIT,REIT
2702,BRAGG GAMING GROUP INC,COMMON,Bragg Gaming Group Inc,Common Stock,Common Stock,Common Stock
2703,BRAILLE ENERGY SYSTEMS INC,COMMON,Braille Energy Systems Inc,Common Stock,Common Stock,Common Stock
2704,BRAINCHIP HOLDINGS LTD,COMMON,Brainchip Holdings Ltd,Common Stock,Common Stock,Common Stock
2705,BRAINPAD INC,COMMON,BrainPad Inc,Common Stock,Common Stock,Common Stock
2706,BRAINSTORM CELL THERAPEUTICS,COMMON,Brainstorm Cell Therapeutics Inc,Common Stock,Common Stock,Common Stock
2707,BRAINSWAY LTD-ADR,ADR,Brainsway Ltd,Common Stock,ADR,Depositary Receipt
2708,BRAINYBRAWN INC,COMMON,,,,
2709,BRAM INDUSTRIES LTD,COMMON,Bram Indus,Common Stock,Common Stock,Common Stock
2710,BRAMBLES LTD,COMMON,Brambles Ltd,Common Stock,Common Stock,Common Stock
2711,BRAND ARCHITEKTS GROUP PLC,COMMON,,,,
2712,BRAND CONCEPTS LTD,COMMON,Brand Concepts Limited,Common Stock,Common Stock,Common Stock
2713,BRAND INDUSTRIES LTD,COMMON,Brand Group (M.G) Ltd,Common Stock,Common Stock,Common Stock
2714,BRANDING TECHNOLOGY INC,COMMON,Branding Technology Inc,Common Stock,Common Stock,Common Stock
2715,BRANDYWINE REALTY TRUST,REIT,Brandywine Realty Trust,Common Stock,REIT,REIT
2716,BRASKEM SA-SPON ADR,ADR,Braskem SA Class A,Common Stock,ADR,Depositary Receipt
2717,BRASS CORP,COMMON,Brass Corp,Common Stock,Common Stock,Common Stock
2718,BRAVADA GOLD CORP,COMMON,Bravada Gold Corporation,Common Stock,Common Stock,Common Stock
2719,BRAVATEK SOLUTIONS INC,COMMON,Bravatek Solutions Inc,Common Stock,Common Stock,Common Stock
2720,BRAVE BISON GROUP PLC,COMMON,Brave Bison Group PLC,Common Stock,Common Stock,Common Stock
2721,BRAVEHEART RESOURCES INC,COMMON,Braveheart Resources Inc,Common Stock,Common Stock,Common Stock
2722,BRAVIDA HOLDING AB,COMMON,Bravida Holding AB,Common Stock,Common Stock,Common Stock
2723,BRAVO ENTERPRISES LTD,COMMON,,,Common Stock,Common Stock
2724,BRAVO MULTINATIONAL INC,COMMON,Bravo Multinational Inc,Common Stock,Common Stock,Common Stock
2725,BRAVURA SOLUTIONS LTD,COMMON,Bravura Solutions Ltd,Common Stock,Common Stock,Common Stock
2726,BRAZIL MINERALS INC,COMMON,Brazil Minerals Inc,Common Stock,Common Stock,Common Stock
2727,BREADTALK GROUP LTD,COMMON,,,,
2728,BREDERODE,COMMON,Brederode SA,Common Stock,Common Stock,Common Stock
2729,BREEDON GROUP PLC,COMMON,Breedon Group PLC,Common Stock,Common Stock,Common Stock
2730,BREEZER VENTURES INC,COMMON,,,Common Stock,Common Stock
2731,BREITBURN ENERGY PARTNERS LP,MLP,,,MLP,Partnership Shares
2732,BREITLING ENERGY CORP,COMMON,,,,
2733,BREMER LAGERHAUS-GESELL AG,COMMON,BREMER LAGERHAUS-GESELLSCHAFT -Aktiengesellschaft von 1877-,Common Stock,Common Stock,Common Stock
2734,BRENMILLER ENERGY LTD,COMMON,Brenmiller Energy Ltd,Common Stock,Common Stock,Common Stock
2735,BRENNTAG AG,COMMON,,,,
2736,BREVILLE GROUP LTD,COMMON,Breville Group Ltd,Common Stock,Common Stock,Common Stock
2737,BREWIN DOLPHIN HOLDINGS PLC,COMMON,Brewin Dolphin Holdings PLC,Common Stock,Common Stock,Common Stock
2738,BRICKWORKS LIMITED,COMMON,Brickworks Ltd,Common Stock,Common Stock,Common Stock
2739,BRIDGE BANCORP INC,COMMON,,,,
2740,BRIDGE INTERNATIONAL CORP,COMMON,Bridge International Corp,Common Stock,Common Stock,Common Stock
2741,BRIDGEBIO PHARMA INC,COMMON,BridgeBio Pharma Inc,Common Stock,Common Stock,Common Stock
2742,BRIDGELINE DIGITAL INC,COMMON,Bridgeline Digital Inc,Common Stock,Common Stock,Common Stock
2743,BRIDGESTONE CORP,COMMON,Bridgestone Corp.,Common Stock,Common Stock,Common Stock
2744,BRIDGEWATER BANCSHARES INC,COMMON,Bridgewater Bancshares Inc,Common Stock,Common Stock,Common Stock
2745,BRIDGFORD FOODS CORP,COMMON,Bridgford Foods Corporation,Common Stock,Common Stock,Common Stock
2746,BRIGADE ENTERPRISES LIMITED,COMMON,Brigade Enterprises Limited,Common Stock,Common Stock,Common Stock
2747,BRIGGS & STRATTON,COMMON,,,Common Stock,Common Stock
2748,BRIGHAM MINERALS INC-CL A,COMMON,Brigham Minerals Inc,Common Stock,Common Stock,Common Stock
2749,BRIGHT HORIZONS FAMILY SOLUT,COMMON,Bright Horizons Family Solutions Inc,Common Stock,Common Stock,Common Stock
2750,BRIGHT MOUNTAIN MEDIA INC,COMMON,Bright Mountain Media Inc,Common Stock,Common Stock,Common Stock
2751,BRIGHT OCEANS INTER-TELECO-A,COMMON,Bright Oceans Inter Telecom Corp,Common Stock,Common Stock,Common Stock
2752,BRIGHT SOLAR LTD,COMMON,,,Common Stock,Common Stock
2753,BRIGHTCOM GROUP LTD,COMMON,Brightcom Group Limited,Common Stock,Common Stock,Common Stock
2754,BRIGHTCOVE,COMMON,Brightcove Inc,Common Stock,Common Stock,Common Stock
2755,BRIGHTHOUSE FINANL INC,,Brighthouse Financial Inc,Common Stock,Common Stock,Common Stock
2756,BRIGHTKING HOLDINGS LTD,COMMON,,,,
2757,BRIGHTLANE CORP,COMMON,,,Common Stock,Common Stock
2758,BRIGHTOIL PETROLEUM HOLDINGS,COMMON,,,,
2759,BRIGHTON MINING GROUP LTD,COMMON,,,,
2760,BRIGHTON PIER GROUP PLC/ THE,COMMON,Brighton Pier Group PLC,Common Stock,Common Stock,Common Stock
2761,BRIGHTPATH BIOTHERAPEUTICS C,COMMON,BrightPath Biotherapeutics Co Ltd,Common Stock,Common Stock,Common Stock
2762,BRIGHTPATH EARLY LEARNING IN,COMMON,,,,
2763,BRIGHTSTAR INFORMATION TECH,COMMON,,,Common Stock,Common Stock
2764,BRIGHTVIEW HOLDINGS INC,COMMON,BrightView Holdings,Common Stock,Common Stock,Common Stock
2765,BRIKO ENERGY CORP,,,,,
2766,BRILLIANCE CHINA AUTOMOTIVE,COMMON,,,Common Stock,Common Stock
2767,BRILLIANT CIRCLE HOLDINGS IN,COMMON,,,,
2768,BRINK'S CO/THE,COMMON,Brinks Company,Common Stock,Common Stock,Common Stock
2769,BRINKER INTL INC,COMMON,Brinker International Inc,Common Stock,Common Stock,Common Stock
2770,BRINX RESOURCES LTD,COMMON,,,Common Stock,Common Stock
2771,BRISBANE BRONCOS LTD,COMMON,Brisbane Broncos Ltd,Common Stock,Common Stock,Common Stock
2772,BRISCOE GROUP LTD,COMMON,,,Common Stock,Common Stock
2773,BRISTOL GATE CONCENTRAT ETF,ETF,Bristol Gate Concentrated Canadian Equity,Common Stock,ETP,Mutual Fund
2774,BRISTOL MYERS SQUIBB CO: BMY PR,CONVPREFERRED,Bristol-Myers Squibb Company PFD CONV 2,Common Stock,PUBLIC,Preferred Stock
2775,BRISTOL-MYERS SQUIBB CO,COMMON,Bristol-Myers Squibb Company,Common Stock,Common Stock,Common Stock
2776,BRITANNIA BULK HOLDINGS INC,COMMON,,,Common Stock,Common Stock
2777,BRITANNIA INDUSTRIES LTD,COMMON,Britannia Industries Limited,Common Stock,Common Stock,Common Stock
2778,BRITANNIA MINING INC,COMMON,,,,
2779,BRITE-STRIKE TACTICAL ILLUMI,COMMON,,,Common Stock,Common Stock
2780,BRITISH & AMERICAN INVEST TR,CLOSED-END FUND,British and American Investment Trust PLC,Common Stock,Closed-End Fund,Mutual Fund
2781,BRITISH AMERICAN TOBACCO PLC,COMMON,British American Tobacco PLC,Common Stock,Common Stock,Common Stock
2782,BRITISH LAND CO PLC,REIT,British Land Company PLC,Common Stock,REIT,REIT
2783,BRITISH SMALLER COMPANIES VC,CLOSED-END FUND,British Smaller Companies Vct 2 Plc,Common Stock,Closed-End Fund,Mutual Fund
2784,BRITVIC PLC,COMMON,Britvic PLC,Common Stock,Common Stock,Common Stock
2785,BRIXMOR PROPERTY GROUP INC,REIT,Brixmor Property,Common Stock,REIT,REIT
2786,BRIXTON METALS CORP,COMMON,Brixton Metals Corporation,Common Stock,Common Stock,Common Stock
2787,BROAD INVESTMENTS LTD,COMMON,,,,
2788,BROADBAND TOWER INC,COMMON,BroadBand Tower Inc,Common Stock,Common Stock,Common Stock
2789,BROADCASTING SYSTEM OF NIIGA,COMMON,Broadcasting System of Niigata Inc,Common Stock,Common Stock,Common Stock
2790,BROADCOM INC,,Broadcom Inc,Common Stock,Common Stock,Common Stock
2791,BROADLEAF CO LTD,COMMON,Broadleaf Co Ltd,Common Stock,Common Stock,Common Stock
2792,BROADRIDGE FINANCIAL SOLUTNS,,Broadridge Financial Solutions Inc,Common Stock,Common Stock,Common Stock
2793,BROADSIDE ENTERPRISES INC,COMMON,Broadside Enterprises Inc,Common Stock,Common Stock,Common Stock
2794,BROADSOFT INC,COMMON,,,,
2795,BROADVIEW NETWORKS HOLDINGS,COMMON,,,,
2796,BROADVISION INC,COMMON,,,Common Stock,Common Stock
2797,BROADVISION INC,COMMON,,,Common Stock,Common Stock
2798,BROADWAY FINANCIAL CORP/DE,COMMON,Broadway Financial Corporation,Common Stock,Common Stock,Common Stock
2799,BROADWAY INDUSTRIAL GRP LTD,COMMON,Broadway Industrial Group Limited,Common Stock,Common Stock,Common Stock
2800,BROCADE COMMUNICATIONS SYS,COMMON,,,,
2801,BROCADE COMMUNICATIONS SYS,COMMON,,,,
2802,BROCCOLI CO LTD,COMMON,Broccoli Co Ltd,Common Stock,Common Stock,Common Stock
2803,BROCKMAN MINING LTD,COMMON,Brockman Mining Ltd,Common Stock,Common Stock,Common Stock
2804,BROMPTON GLOBAL DIVIDEND-ETF,ETF,Brompton Global Dividend Growth ETF,ETF,ETP,Mutual Fund
2805,BROMPTON LIFECO SPLIT CORP-A,CLOSED-END FUND,Brompton Lifeco Split Corp,Common Stock,Closed-End Fund,Mutual Fund
2806,BROMPTON OIL SPLIT CORP -A,CLOSED-END FUND,Brompton Oil Split Corp,Common Stock,Closed-End Fund,Mutual Fund
2807,BROMPTON SPLIT BANC COR-CL A,CLOSED-END FUND,Brompton Split Banc Corp,Common Stock,Closed-End Fund,Mutual Fund
2808,BRONCO BILLY CO LTD,COMMON,Bronco Billy Co Ltd,Common Stock,Common Stock,Common Stock
2809,BROOK CROMPTON HOLDINGS LTD,COMMON,Brook Crompton Holdings Ltd,Common Stock,Common Stock,Common Stock
2810,BROOKDALE SENIOR LIVING INC,COMMON,Brookdale Senior Living Inc,Common Stock,Common Stock,Common Stock
2811,BROOKFIELD ASSET MANAGE-CL A,COMMON,Brookfield Asset Management Inc,Common Stock,Common Stock,Common Stock
2812,BROOKFIELD HIGH INCOME FUND,CLOSED-END FUND,,,,
2813,BROOKFIELD HOMES CORP,COMMON,,,,
2814,BROOKFIELD INFRASTRUCTURE PA,LTD PART,Brookfield Infrastructure Partners LP,Common Stock,Ltd Part,Partnership Shares
2815,BROOKFIELD PROPERTY PARTNERS,LTD PART,,,Ltd Part,Partnership Shares
2816,BROOKFIELD PROPERTY REIT I-A,REIT,,,,
2817,BROOKFIELD RENEWABLE PARTNER,LTD PART,Brookfield Renewable Partners LP,Common Stock,Ltd Part,Partnership Shares
2818,BROOKFIELD TOTAL RETURN FUND,CLOSED-END FUND,,,,
2819,BROOKLINE BANCORP INC,COMMON,Brookline Bancorp Inc,Common Stock,Common Stock,Common Stock
2820,BROOKMOUNT EXPLORATIONS INC,COMMON,Brookmount Explorations Inc,Common Stock,Common Stock,Common Stock
2821,BROOKS AUTOMATION INC,COMMON,Azenta Inc,Common Stock,Common Stock,Common Stock
2822,BROOKS LABORATORIES LTD,COMMON,Brooks Laboratories Limited,Common Stock,Common Stock,Common Stock
2823,BROOKS MACDONALD GROUP PLC,COMMON,Brooks Macdonald Group,Common Stock,Common Stock,Common Stock
2824,BROOKSIDE ENERGY LTD,COMMON,Brookside Energy Ltd,Common Stock,Common Stock,Common Stock
2825,BROS EASTERN CO LTD-A,COMMON,Bros Eastern Co Ltd,Common Stock,Common Stock,Common Stock
2826,BROTHER INDUSTRIES LTD,COMMON,Brother Industries Ltd,Common Stock,Common Stock,Common Stock
2827,BROWN & BROWN INC,COMMON,Brown & Brown Inc,Common Stock,Common Stock,Common Stock
2828,BROWN FORMAN CORP,,,,,
2829,BROWNIE'S MARINE GROUP INC,COMMON,Brownie's Marine Group Inc,Common Stock,Common Stock,Common Stock
2830,BRP INC/CA- SUB VOTING,COMMON,BRP Inc,Common Stock,Common Stock,Common Stock
2831,BRS RESOURCES LTD,COMMON,,,,
2832,BRT APARTMENTS CORP,REIT,BRT Realty Trust,Common Stock,REIT,REIT
2833,BRUKER CORP,COMMON,,,,
2834,BRUNEL INTERNATIONAL,COMMON,Brunel International NV,Common Stock,Common Stock,Common Stock
2835,BRUNELLO CUCINELLI SPA,COMMON,Brunello Cucinelli S.p.A,Common Stock,Common Stock,Common Stock
2836,BRUNNER INVESTMENT TRUST PLC,CLOSED-END FUND,Brunner Investment Trust,Common Stock,Closed-End Fund,Mutual Fund
2837,BRUNSWICK BANCORP,COMMON,Brunswick Bancorp,Common Stock,Common Stock,Common Stock
2838,BRUNSWICK CORP,COMMON,Brunswick Corporation,Common Stock,Common Stock,Common Stock
2839,BRUNSWICK RESOURCES INC,COMMON,,,,
2840,BRYAH RESOURCES LTD,COMMON,Bryah Resources Ltd,Common Stock,Common Stock,Common Stock
2841,BRYN MAWR BANK CORP,COMMON,,,Common Stock,Common Stock
2842,BSA LTD,COMMON,BSA Ltd,Common Stock,Common Stock,Common Stock
2843,BSE LTD,COMMON,BSE Limited,Common Stock,Common Stock,Common Stock
2844,BSQUARE CORPORATION,COMMON,BSQUARE Corporation,Common Stock,Common Stock,Common Stock
2845,BT GROUP PLC-SPON ADR,ADR,,,ADR,Depositary Receipt
2846,BTC HEALTH LTD,COMMON,BTC Health Limited,Common Stock,Common Stock,Common Stock
2847,BTCS INC,COMMON,BTCS Inc,Common Stock,Common Stock,Common Stock
2848,BTG HOTELS GROUP CO LTD-A,COMMON,BTG Hotels Group Co Ltd,Common Stock,Common Stock,Common Stock
2849,BUBS AUSTRALIA LTD,COMMON,Bubs Australia Ltd,Common Stock,Common Stock,Common Stock
2850,BUCCANEER ENERGY LTD,COMMON,,,,
2851,BUCHANS WILEYS EXPLORATION INC,,,,,
2852,BUCHER INDUSTRIES AG-REG,COMMON,Bucher Industries AG,Common Stock,Common Stock,Common Stock
2853,BUCKEYE PARTNERS LP,MLP,,,MLP,Partnership Shares
2854,BUCKEYE TECHNOLOGIES INC,COMMON,,,,
2855,BUCKLE INC/THE,COMMON,Buckle Inc,Common Stock,Common Stock,Common Stock
2856,BUDDY TECHNOLOGIES LTD,COMMON,Buddy Platform Ltd,Common Stock,Common Stock,Common Stock
2857,BUDERIM GROUP LTD,COMMON,,,,
2858,BUDIMEX,COMMON,Budimex S.A.,Common Stock,Common Stock,Common Stock
2859,BUDWEISER BREWING CO APAC LT,COMMON,Budweiser Brewing Company,Common Stock,Common Stock,Common Stock
2860,BUFFALO CO LTD,COMMON,Buffalo Co Ltd,Common Stock,Common Stock,Common Stock
2861,BUFFALO COAL CORP,COMMON,Buffalo Coal Corp,Common Stock,Common Stock,Common Stock
2862,BUFFALO WILD WINGS INC,COMMON,,,,
2863,BUHLER INDUSTRIES INC,COMMON,Buhler Industries Inc.,Common Stock,Common Stock,Common Stock
2864,BUILD KING HOLDINGS LTD,COMMON,Build King Holdings Ltd,Common Stock,Common Stock,Common Stock
2865,BUILDABLOCK CORP,COMMON,,,Common Stock,Common Stock
2866,BUILDERS CAPITAL MORTGAGE CO,CLOSED-END FUND,Builders Capital Mortgage Corp,Common Stock,Closed-End Fund,Mutual Fund
2867,BUILDERS FIRSTSOURCE INC,COMMON,Builders FirstSource Inc,Common Stock,Common Stock,Common Stock
2868,BUILDING MATERIAL HOLDING CP,COMMON,,,,
2869,BUILDINGIQ INC-CDI,CDI,BuildingIQ Inc,Common Stock,CDI,Depositary Receipt
2870,BUKIT SEMBAWANG ESTATES LTD,COMMON,Bukit Sembawang Estates Limited,Common Stock,Common Stock,Common Stock
2871,BULL-DOG SAUCE CO LTD,COMMON,Bull-Dog Sauce Co Ltd,Common Stock,Common Stock,Common Stock
2872,BULLETIN RESOURCES LTD,COMMON,Bulletin Resources Ltd,Common Stock,Common Stock,Common Stock
2873,BULLETPROOF GROUP LTD,COMMON,,,,
2874,BULLFROG GOLD CORP,COMMON,,,,
2875,BULLION RIVER GOLD CORP,COMMON,,,,
2876,BULLMAN MINERALS INC,COMMON,,,,
2877,BULOVA TECHNOLOGIES GRP INC,COMMON,,,,
2878,BULTEN AB,COMMON,Bulten AB,Common Stock,Common Stock,Common Stock
2879,BUMI SERPONG DAMAI-UNSP ADR,ADR,Bumi Serpong Damai Tbk PT ADR,Common Stock,ADR,Depositary Receipt
2880,BUMITAMA AGRI LTD,COMMON,Bumitama Agri Ltd,Common Stock,Common Stock,Common Stock
2881,BUND CENTER INVESTMENT LTD,COMMON,Bund Center Investment Ltd,Common Stock,Common Stock,Common Stock
2882,BUNGE LIMITED,COMMON,Bunge Limited,Common Stock,Common Stock,Common Stock
2883,BUNKA SHUTTER CO LTD,COMMON,Bunka Shutter Co Ltd,Common Stock,Common Stock,Common Stock
2884,BUNKER HILL MINING CORP,COMMON,,,,
2885,BUNZL PLC,COMMON,Bunzl PLC,Common Stock,Common Stock,Common Stock
2886,BURBERRY GROUP PLC,COMMON,Burberry Group PLC,Common Stock,Common Stock,Common Stock
2887,BURCON NUTRASCIENCE CORP.,COMMON,,,,
2888,BUREAU VERITAS SA,COMMON,Bureau Veritas SA,Common Stock,Common Stock,Common Stock
2889,BURELLE SA,COMMON,Burelle SA,Common Stock,Common Stock,Common Stock
2890,BURFORD CAPITAL LTD,COMMON,Burford Capital Ltd,Common Stock,Common Stock,Common Stock
2891,BURGENLAND HOLDING AG,COMMON,Burgenland Holding Aktiengesellschaft,Common Stock,Common Stock,Common Stock
2892,BURKE & HERBERT BK & TR/VA,COMMON,Burke & Herbert Bank & Trust Company,Common Stock,Common Stock,Common Stock
2893,BURKHALTER HOLDING AG,COMMON,Burkhalter Holding AG,Common Stock,Common Stock,Common Stock
2894,BURLINGTON NORTHERN SANTA FE,,,,,
2895,BURLINGTON STORES INC,COMMON,Burlington Stores Inc,Common Stock,Common Stock,Common Stock
2896,BURN ENTERTAINMENT CORP,COMMON,,,,
2897,BURNPUR CEMENT LIMITED,COMMON,Burnpur Cement Limited,Common Stock,Common Stock,Common Stock
2898,BURNSTONE VENTURES INC,COMMON,,,,
2899,BURU ENERGY LTD,COMMON,Buru Energy Ltd,Common Stock,Common Stock,Common Stock
2900,BURWILL HOLDINGS LTD,COMMON,,,,
2901,BURZYNSKI RESEARCH INSTITUTE,COMMON,Burzynski Research,Common Stock,Common Stock,Common Stock
2902,BUSCAR CO,COMMON,Buscar Co,Common Stock,Common Stock,Common Stock
2903,BUSHIROAD INC,COMMON,Bushiroad Inc,Common Stock,Common Stock,Common Stock
2904,BUSHVELD MINERALS LTD,COMMON,Bushveld Minerals Limited,Common Stock,Common Stock,Common Stock
2905,BUSINESS BREAKTHROUGH INC,COMMON,Business Breakthrough Inc,Common Stock,Common Stock,Common Stock
2906,BUSINESS FIRST BANCSHARES,COMMON,Business First Bancshares Inc,Common Stock,Common Stock,Common Stock
2907,BUTLER NATIONAL CORP,COMMON,Butler National Corp,Common Stock,Common Stock,Common Stock
2908,BUTTERFLY GANDHIMATHI APPLIA,COMMON,Butterfly Gandhimathi Appliances Limited,Common Stock,Common Stock,Common Stock
2909,BUXTON RESOURCES LTD,COMMON,Buxton Resources Ltd,Common Stock,Common Stock,Common Stock
2910,BUYER GROUP INTERNATIONAL,COMMON,Buyer Group International Inc,Common Stock,Common Stock,Common Stock
2911,BV FINANCIAL INC,COMMON,BV Financial Inc,Common Stock,Common Stock,Common Stock
2912,BW OFFSHORE LTD,COMMON,BW Offshore Ltd,Common Stock,Common Stock,Common Stock
2913,BWR EXPLORATION INC,COMMON,Black Widow Resources Inc,Common Stock,Common Stock,Common Stock
2914,BWX TECHNOLOGIES INC,COMMON,BWX Technologies Inc,Common Stock,Common Stock,Common Stock
2915,BYD ELECTRONIC INTL CO LTD,COMMON,,,,
2916,BYGGMAX GROUP AB,COMMON,Byggmax Group AB,Common Stock,Common Stock,Common Stock
2917,BYLEASING HOLDINGS LTD,COMMON,,,,
2918,BYLINE BANCORP INC,COMMON,Byline Bancorp Inc,Common Stock,Common Stock,Common Stock
